trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.8996000000000001}",20,0,-35.16040461485444,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.3, 'e': 0.8992000000000001}",35,0,-231.2949137687015,"{0: 21, 1: 4, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.3, 'e': 0.8988000000000002}",20,0,-106.95601214390241,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.8984000000000002}",20,0,-2.5296897565047214,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.8980000000000002}",20,0,-17.177849143366856,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.8976000000000003}",25,0,-85.67306237439198,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.8972000000000003}",20,0,-65.42296896148187,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.8968000000000004}",20,0,-142.9774553869791,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.8964000000000004}",30,0,-133.51600335410248,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.8960000000000005}",30,0,-143.86646395264813,"{0: 13, 1: 7, 2: 8, 3: 2, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.8956000000000005}",20,0,-60.394897376143696,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.8952000000000006}",20,0,-41.57444437209365,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.8948000000000006}",25,0,-119.65627722693196,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.8944000000000006}",20,0,-133.34906017830934,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.8940000000000007}",35,0,-136.90205497946306,"{0: 22, 1: 6, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.3, 'e': 0.8936000000000007}",20,0,-112.28278254905834,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.8932000000000008}",20,0,-99.74547118226327,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.8928000000000008}",20,0,-52.21194335911404,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.8924000000000009}",25,0,-86.56925947959779,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",1
20,False,"{'a': 0.3, 'e': 0.8920000000000009}",25,0,-65.33755419443852,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.3, 'e': 0.891600000000001}",20,0,-130.64104142009882,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.3, 'e': 0.891200000000001}",25,0,-91.15761163367804,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
23,False,"{'a': 0.3, 'e': 0.890800000000001}",20,0,-47.301972053047606,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.3, 'e': 0.8904000000000011}",25,0,-176.52460794007033,"{0: 17, 1: 0, 2: 2, 3: 3, 4: 3}",0
25,False,"{'a': 0.3, 'e': 0.8900000000000011}",25,0,-62.59570905012215,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.3, 'e': 0.8896000000000012}",20,0,-154.7786377518833,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
27,False,"{'a': 0.3, 'e': 0.8892000000000012}",20,0,-125.63619161948473,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
