trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8}",20,0,-86.44460104045542,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.6400000000000001}",30,0,-185.69332269681536,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.5120000000000001}",20,0,-68.62671504983182,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.40960000000000013}",20,0,-180.26388700033453,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.32768000000000014}",25,3,-70.54189795434071,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.2621440000000001}",25,0,-97.44244255465048,"{0: 13, 1: 1, 2: 11, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.2097152000000001}",30,0,-282.2802950134381,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.1677721600000001}",20,4,-80.0246552626508,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.13421772800000006}",30,0,-131.62782407511824,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.10737418240000006}",25,0,-211.86360978605302,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.08589934592000005}",20,0,-102.19697433119916,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.06871947673600004}",25,0,-151.56313812020383,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.054975581388800036}",25,0,-51.351806553814995,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.043980465111040035}",20,0,-172.65609418696445,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.03518437208883203}",30,0,-322.5407104437402,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 7}",0
16,False,"{'a': 0.5, 'e': 0.028147497671065627}",25,0,-202.9423027722907,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.022517998136852502}",25,2,-104.14158413845743,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.018014398509482003}",25,0,-40.2153701103163,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.014411518807585602}",20,10,-87.11927218627723,"{0: 4, 1: 1, 2: 3, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.011529215046068483}",20,0,-114.90982112071431,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-126.43074553186078,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-46.13711032960464,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-46.07430663304629,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,1,-27.707491743626168,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-46.0535022767839,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-80.78316662898348,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-157.8784175495783,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-223.67948400926753,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",25,0,-73.76002464832969,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-130.85169115369072,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
